epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.763,1.80484,3.00712,2.07133,0.48329,0.22952,0.18127,0.06409,2.19808,4.66824,2.6444,0.000553118,0.000553118,0.000553118
2,703.458,1.81301,2.60226,2.03984,0.1626,0.20607,0.11725,0.044,2.39043,3.21283,2.67169,0.00108683,0.00108683,0.00108683
3,1049.8,1.85607,2.47624,2.07223,0.28258,0.19899,0.10685,0.02955,2.42467,3.78464,3.10748,0.00159854,0.00159854,0.00159854
4,1401.35,1.84992,2.38563,2.06634,0.22961,0.35719,0.20402,0.06581,2.15978,3.7344,2.61406,0.00156798,0.00156798,0.00156798
5,1760.43,1.805,2.31709,2.01656,0.25523,0.34089,0.2858,0.11664,2.03473,2.32929,2.39264,0.00153497,0.00153497,0.00153497
6,2132.21,1.7891,2.2366,2.01652,0.42536,0.44512,0.37796,0.16189,1.99937,2.16542,2.34852,0.00150197,0.00150197,0.00150197
7,2510.53,1.73102,2.15382,1.96344,0.49121,0.56058,0.48361,0.21295,1.9165,2.0484,2.26735,0.00146896,0.00146896,0.00146896
8,2876.59,1.72572,2.06792,1.93516,0.56665,0.54062,0.50204,0.22337,2.03961,2.14252,2.34648,0.00143595,0.00143595,0.00143595
9,3219.02,1.73063,1.9888,1.90181,0.5591,0.63777,0.57902,0.27436,1.84499,1.87203,2.16582,0.00140295,0.00140295,0.00140295
10,3558.74,1.67395,1.95456,1.87613,0.62779,0.59066,0.59886,0.30299,1.87279,1.84224,2.15075,0.00136994,0.00136994,0.00136994
11,3918.31,1.64309,1.92413,1.84595,0.65531,0.60882,0.6561,0.31492,1.86326,1.74456,2.15396,0.00133693,0.00133693,0.00133693
12,4276.84,1.65487,1.87954,1.84948,0.67872,0.56861,0.6354,0.31963,1.8208,1.80421,2.16321,0.00130393,0.00130393,0.00130393
13,4635.94,1.62164,1.82503,1.82658,0.70685,0.58144,0.65335,0.33714,1.80778,1.7108,2.11444,0.00127092,0.00127092,0.00127092
14,4976.93,1.63379,1.80404,1.82454,0.68717,0.61273,0.69001,0.3659,1.80863,1.62779,2.11562,0.00123791,0.00123791,0.00123791
15,5318.63,1.58362,1.74761,1.78071,0.72122,0.65305,0.69163,0.35498,1.82965,1.57409,2.12508,0.00120491,0.00120491,0.00120491
16,5659.38,1.54965,1.73807,1.77437,0.6442,0.66423,0.6872,0.36408,1.80634,1.69856,2.09302,0.0011719,0.0011719,0.0011719
17,5999.99,1.57007,1.72063,1.7832,0.73173,0.63638,0.68878,0.36813,1.74847,1.51742,2.033,0.00113889,0.00113889,0.00113889
18,6349.01,1.53634,1.67791,1.74853,0.7014,0.6474,0.71423,0.37356,1.78054,1.53365,2.04486,0.00110589,0.00110589,0.00110589
19,6690.27,1.53859,1.63759,1.75814,0.71927,0.66245,0.71426,0.36218,1.78046,1.49004,2.03552,0.00107288,0.00107288,0.00107288
20,7012.91,1.51118,1.62546,1.74076,0.67499,0.69722,0.73988,0.42855,1.70659,1.50473,2.00115,0.00103987,0.00103987,0.00103987
21,7335.74,1.51682,1.62484,1.74451,0.72394,0.68343,0.76042,0.40731,1.77773,1.52405,2.02943,0.00100687,0.00100687,0.00100687
22,7682.05,1.49611,1.58168,1.71427,0.79321,0.73677,0.79077,0.44707,1.70052,1.34039,1.94671,0.000973861,0.000973861,0.000973861
23,8009.25,1.49935,1.57907,1.71764,0.72677,0.73052,0.77238,0.43435,1.66574,1.39659,1.92793,0.000940855,0.000940855,0.000940855
